redox,azo,ybc,C,T,AMPS,fe,conversion（%）,预测conversion（%）_GBT,绝对误差_GBT,相对误差(%)_GBT,预测conversion（%）_RANDOM_FOREST,绝对误差_RANDOM_FOREST,相对误差(%)_RANDOM_FOREST,预测conversion（%）_XGB,绝对误差_XGB,相对误差(%)_XGB,预测conversion（%）_DECISION_TREE,绝对误差_DECISION_TREE,相对误差(%)_DECISION_TREE,预测conversion（%）_SVR,绝对误差_SVR,相对误差(%)_SVR,预测conversion（%）_LINEAR_REGRESSION,绝对误差_LINEAR_REGRESSION,相对误差(%)_LINEAR_REGRESSION
0.0,0.0,0.0,1.64,0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.14,-4.14,,56.5,-56.5,
0.000914634146341463,0.000914634146341463,0.000914634146341463,1.64,5,10.0,0.5,0.0,0.58,-0.58,,6.85,-6.85,,0.11,-0.11,,0.0,0.0,,43.97,-43.97,,61.8,-61.8,
0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10.0,1.0,71.0,73.54,-2.54,-3.58,75.95,-4.95,-6.97,71.37,-0.37,-0.52,71.0,0.0,0.0,78.02,-7.02,-9.89,67.24,3.76,5.3
0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,15,10.0,1.5,80.0,79.35,0.65,0.81,78.74,1.26,1.58,80.01,-0.01,-0.01,80.0,0.0,0.0,87.84,-7.84,-9.8,74.08,5.92,7.4
0.914634146341463,0.914634146341463,0.914634146341463,1.64,20,10.0,2.0,100.0,99.36,0.64,0.64,98.42,1.58,1.58,99.77,0.23,0.23,100.0,0.0,0.0,99.0,1.0,1.0,94.94,5.06,5.06
0.0,0.091324200913242,0.00091324200913242,2.19,10,10.0,2.0,71.5,77.37,-5.87,-8.21,74.83,-3.33,-4.66,72.65,-1.15,-1.61,71.5,0.0,0.0,94.67,-23.17,-32.41,75.85,-4.35,-6.08
0.00091324200913242,0.91324200913242,0.0091324200913242,2.19,15,10.0,0.0,75.2,83.29,-8.09,-10.76,83.92,-8.72,-11.6,76.55,-1.35,-1.8,75.2,0.0,0.0,97.04,-21.84,-29.04,83.17,-7.97,-10.6
0.0091324200913242,0.0,0.091324200913242,2.19,20,10.0,0.5,79.0,81.38,-2.38,-3.01,81.2,-2.2,-2.78,79.18,-0.18,-0.23,79.0,0.0,0.0,90.54,-11.54,-14.61,67.61,11.39,14.42
0.091324200913242,0.00091324200913242,0.91324200913242,2.19,0,10.0,1.0,94.0,93.71,0.29,0.31,92.1,1.9,2.02,94.0,0.0,0.0,94.0,0.0,0.0,81.68,12.32,13.11,40.92,53.08,56.47
0.91324200913242,0.0091324200913242,0.0,2.19,5,10.0,1.5,98.7,98.93,-0.23,-0.23,93.01,5.69,5.76,97.44,1.26,1.28,98.0,0.7,0.71,100.1,-1.4,-1.42,92.23,6.47,6.56
0.0,0.000915750915750916,0.00915750915750916,2.73,20,10.0,1.5,0.0,0.83,-0.83,,0.2,-0.2,,0.0,0.0,,0.0,0.0,,85.21,-85.21,,76.55,-76.55,
0.000915750915750916,0.00915750915750916,0.0915750915750916,2.73,0,10.0,2.0,92.0,90.59,1.41,1.53,89.63,2.37,2.58,92.51,-0.51,-0.55,92.0,0.0,0.0,93.0,-1.0,-1.09,68.06,23.94,26.02
0.00915750915750916,0.0915750915750916,0.915750915750916,2.73,5,10.0,0.0,0.0,19.57,-19.57,,24.72,-24.72,,1.12,-1.12,,0.0,0.0,,43.79,-43.79,,38.11,-38.11,
0.0915750915750916,0.915750915750916,0.0,2.73,10,10.0,0.5,96.0,96.15,-0.15,-0.16,94.37,1.63,1.7,96.25,-0.25,-0.26,96.0,0.0,0.0,97.0,-1.0,-1.04,87.42,8.58,8.94
0.915750915750916,0.0,0.000915750915750916,2.73,15,10.0,1.0,98.0,96.91,1.09,1.11,95.36,2.64,2.69,97.72,0.28,0.29,98.0,0.0,0.0,97.0,1.0,1.02,94.87,3.13,3.19
0.0,0.914634146341463,0.0914634146341463,3.28,5,10.0,1.0,97.5,93.76,3.74,3.84,88.18,9.32,9.56,82.7,14.8,15.18,71.5,26.0,26.67,96.28,1.22,1.25,84.21,13.29,13.63
0.000914634146341463,0.0,0.914634146341463,3.28,10,10.0,1.5,0.0,20.44,-20.44,,7.52,-7.52,,1.18,-1.18,,0.0,0.0,,77.88,-77.88,,48.26,-48.26,
0.00914634146341463,0.000914634146341463,0.0,3.28,15,10.0,2.0,95.0,88.41,6.59,6.94,81.89,13.11,13.8,94.14,0.86,0.91,95.0,0.0,0.0,92.82,2.18,2.29,78.68,16.32,17.18
0.0914634146341463,0.00914634146341463,0.000914634146341463,3.28,20,10.0,0.0,93.0,58.8,34.2,36.77,81.06,11.94,12.84,82.21,10.79,11.6,96.0,-3.0,-3.23,97.89,-4.89,-5.26,71.51,21.49,23.11
0.914634146341463,0.0914634146341463,0.00914634146341463,3.28,0,10.0,0.5,97.0,98.65,-1.65,-1.7,96.69,0.31,0.32,97.16,-0.16,-0.16,97.0,0.0,0.0,95.8,1.2,1.24,87.58,9.42,9.71
0.0,0.00913838120104439,0.913838120104439,3.83,15,10.0,0.5,75.6,77.96,-2.36,-3.12,73.41,2.19,2.9,75.57,0.03,0.04,75.6,0.0,0.0,72.02,3.58,4.74,45.97,29.63,39.19
0.000913838120104439,0.0913838120104439,0.0,3.83,20,10.0,1.0,98.4,94.64,3.76,3.82,96.67,1.73,1.76,98.35,0.05,0.05,98.4,0.0,0.0,93.11,5.29,5.38,77.85,20.55,20.88
0.00913838120104439,0.913838120104439,0.000913838120104439,3.83,0,10.0,1.5,97.3,99.63,-2.33,-2.39,96.69,0.61,0.63,97.26,0.04,0.04,97.3,0.0,0.0,97.11,0.19,0.2,88.55,8.75,8.99
0.0913838120104439,0.0,0.00913838120104439,3.83,5,10.0,2.0,96.0,95.09,0.91,0.95,94.06,1.94,2.02,96.07,-0.07,-0.07,96.0,0.0,0.0,97.0,-1.0,-1.04,76.88,19.12,19.92
0.913838120104439,0.000913838120104439,0.0913838120104439,3.83,10,10.0,0.0,98.0,97.26,0.74,0.76,93.69,4.31,4.4,98.1,-0.1,-0.1,98.0,0.0,0.0,99.0,-1.0,-1.02,86.26,11.74,11.98
0.0,0.0,0.0,1.53,0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.39,-0.39,,58.15,-58.15,
0.000980392156862745,0.000980392156862745,0.000980392156862745,1.53,5,20.0,0.5,0.0,1.02,-1.02,,11.75,-11.75,,0.0,0.0,,0.0,0.0,,39.99,-39.99,,63.46,-63.46,
0.00980392156862745,0.00980392156862745,0.00980392156862745,1.53,10,20.0,1.0,52.6,61.54,-8.94,-17.0,62.97,-10.37,-19.71,54.33,-1.73,-3.29,52.6,0.0,0.0,74.24,-21.64,-41.14,68.91,-16.31,-31.01
0.0980392156862745,0.0980392156862745,0.0980392156862745,1.53,15,20.0,1.5,71.0,75.13,-4.13,-5.82,76.07,-5.07,-7.14,71.41,-0.41,-0.58,71.0,0.0,0.0,83.47,-12.47,-17.56,75.86,-4.86,-6.85
0.980392156862745,0.980392156862745,0.980392156862745,1.53,20,20.0,2.0,96.5,94.45,2.05,2.12,96.65,-0.15,-0.16,96.51,-0.01,-0.01,96.5,0.0,0.0,96.74,-0.24,-0.25,97.83,-1.33,-1.38
0.0,0.0980392156862745,0.000980392156862745,2.04,10,20.0,2.0,70.0,78.79,-8.79,-12.56,76.71,-6.71,-9.59,90.78,-20.78,-29.69,90.7,-20.7,-29.57,91.85,-21.85,-31.21,77.57,-7.57,-10.81
0.000980392156862745,0.980392156862745,0.00980392156862745,2.04,15,20.0,0.0,99.4,95.38,4.02,4.04,93.55,5.85,5.89,98.94,0.46,0.46,99.4,0.0,0.0,96.78,2.62,2.64,86.12,13.28,13.36
0.00980392156862745,0.0,0.0980392156862745,2.04,20,20.0,0.5,78.7,78.78,-0.08,-0.1,79.22,-0.52,-0.66,78.52,0.18,0.23,78.7,0.0,0.0,87.1,-8.4,-10.67,69.03,9.67,12.29
0.0980392156862745,0.000980392156862745,0.980392156862745,2.04,0,20.0,1.0,90.0,88.42,1.58,1.76,89.89,0.11,0.12,90.38,-0.38,-0.42,90.0,0.0,0.0,72.49,17.51,19.46,40.84,49.16,54.62
0.980392156862745,0.00980392156862745,0.0,2.04,5,20.0,1.5,98.0,98.93,-0.93,-0.95,97.12,0.88,0.9,97.43,0.57,0.58,98.0,0.0,0.0,98.83,-0.83,-0.85,95.54,2.46,2.51
0.0,0.000980392156862745,0.00980392156862745,2.55,20,20.0,1.5,0.0,3.36,-3.36,,0.2,-0.2,,0.01,-0.01,,0.0,0.0,,83.09,-83.09,,78.05,-78.05,
0.000980392156862745,0.00980392156862745,0.0980392156862745,2.55,0,20.0,2.0,92.0,91.81,0.19,0.21,90.16,1.84,2.0,91.89,0.11,0.12,92.0,0.0,0.0,91.22,0.78,0.85,69.42,22.58,24.54
0.00980392156862745,0.0980392156862745,0.980392156862745,2.55,5,20.0,0.0,0.0,12.75,-12.75,,12.64,-12.64,,0.11,-0.11,,0.0,0.0,,29.16,-29.16,,38.02,-38.02,
0.0980392156862745,0.980392156862745,0.0,2.55,10,20.0,0.5,99.0,97.27,1.73,1.75,97.93,1.07,1.08,98.46,0.54,0.55,99.0,0.0,0.0,96.36,2.64,2.67,90.44,8.56,8.65
0.980392156862745,0.0,0.000980392156862745,2.55,15,20.0,1.0,95.0,96.58,-1.58,-1.66,93.82,1.18,1.24,95.25,-0.25,-0.26,95.0,0.0,0.0,96.0,-1.0,-1.05,98.04,-3.04,-3.2
0.0,0.980392156862745,0.0980392156862745,3.06,5,20.0,1.0,96.6,95.31,1.29,1.34,89.76,6.84,7.08,96.49,0.11,0.11,96.6,0.0,0.0,95.6,1.0,1.04,86.83,9.77,10.11
0.000980392156862745,0.0,0.980392156862745,3.06,10,20.0,1.5,0.0,0.72,-0.72,,0.0,0.0,,0.03,-0.03,,0.0,0.0,,59.08,-59.08,,47.92,-47.92,
0.00980392156862745,0.000980392156862745,0.0,3.06,15,20.0,2.0,96.0,91.3,4.7,4.9,92.01,3.99,4.16,95.87,0.13,0.14,96.0,0.0,0.0,90.21,5.79,6.03,80.14,15.86,16.52
0.0980392156862745,0.00980392156862745,0.000980392156862745,3.06,20,20.0,0.0,94.0,93.29,0.71,0.76,92.47,1.53,1.63,94.13,-0.13,-0.14,94.0,0.0,0.0,95.81,-1.81,-1.93,73.14,20.86,22.19
0.980392156862745,0.0980392156862745,0.00980392156862745,3.06,0,20.0,0.5,97.0,96.62,0.38,0.39,96.98,0.02,0.02,97.1,-0.1,-0.1,97.0,0.0,0.0,96.0,1.0,1.03,90.82,6.18,6.37
0.0,0.00980392156862745,0.980392156862745,3.57,15,20.0,0.5,83.6,66.82,16.78,20.07,71.47,12.13,14.51,56.21,27.39,32.76,96.6,-13.0,-15.55,52.75,30.85,36.9,45.53,38.07,45.54
0.000980392156862745,0.0980392156862745,0.0,3.57,20,20.0,1.0,99.0,97.05,1.95,1.97,98.59,0.41,0.41,99.05,-0.05,-0.05,99.0,0.0,0.0,91.23,7.77,7.85,79.36,19.64,19.84
0.00980392156862745,0.980392156862745,0.000980392156862745,3.57,0,20.0,1.5,98.0,98.23,-0.23,-0.23,97.5,0.5,0.51,97.9,0.1,0.1,98.0,0.0,0.0,97.0,1.0,1.02,91.3,6.7,6.84
0.0980392156862745,0.0,0.00980392156862745,3.57,5,20.0,2.0,96.0,98.09,-2.09,-2.18,94.09,1.91,1.99,95.65,0.35,0.36,96.0,0.0,0.0,94.78,1.22,1.27,78.4,17.6,18.33
0.980392156862745,0.000980392156862745,0.0980392156862745,3.57,10,20.0,0.0,98.0,98.03,-0.03,-0.03,97.05,0.95,0.97,97.89,0.11,0.11,98.0,0.0,0.0,97.3,0.7,0.71,89.14,8.86,9.04
0.0,0.0,0.0,1.34,0,30.0,0.0,0.0,0.89,-0.89,,0.0,0.0,,0.24,-0.24,,0.0,0.0,,1.0,-1.0,,59.66,-59.66,
0.00111940298507463,0.00111940298507463,0.00111940298507463,1.34,5,30.0,0.5,0.0,4.01,-4.01,,15.46,-15.46,,0.32,-0.32,,0.0,0.0,,39.0,-39.0,,64.96,-64.96,
0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,10,30.0,1.0,85.0,76.61,8.39,9.87,78.0,7.0,8.24,83.96,1.04,1.22,85.0,0.0,0.0,71.86,13.14,15.46,70.43,14.57,17.14
0.111940298507463,0.111940298507463,0.111940298507463,1.34,15,30.0,1.5,92.5,85.31,7.19,7.77,85.36,7.14,7.72,92.14,0.36,0.39,92.5,0.0,0.0,79.1,13.4,14.49,77.62,14.88,16.09
1.11940298507463,1.11940298507463,1.11940298507463,1.34,20,30.0,2.0,97.0,98.63,-1.63,-1.68,96.53,0.47,0.48,97.12,-0.12,-0.12,97.0,0.0,0.0,96.8,0.2,0.21,101.96,-4.96,-5.11
0.0,0.111731843575419,0.00111731843575419,1.79,10,30.0,2.0,64.0,75.01,-11.01,-17.2,78.44,-14.44,-22.56,90.67,-26.67,-41.67,90.7,-26.7,-41.72,89.2,-25.2,-39.38,79.23,-15.23,-23.8
0.00111731843575419,1.11731843575419,0.0111731843575419,1.79,15,30.0,0.0,98.0,91.85,6.15,6.28,91.57,6.43,6.56,97.75,0.25,0.26,98.0,0.0,0.0,97.0,1.0,1.02,90.29,7.71,7.87
0.0111731843575419,0.0,0.111731843575419,1.79,20,30.0,0.5,70.0,72.5,-2.5,-3.57,73.93,-3.93,-5.61,70.33,-0.33,-0.47,70.0,0.0,0.0,83.73,-13.73,-19.61,70.07,-0.07,-0.1
0.111731843575419,0.00111731843575419,1.11731843575419,1.79,0,30.0,1.0,92.0,86.01,5.99,6.51,87.29,4.71,5.12,91.48,0.52,0.57,92.0,0.0,0.0,63.77,28.23,30.68,38.85,53.15,57.77
1.11731843575419,0.0111731843575419,0.0,1.79,5,30.0,1.5,97.4,96.92,0.48,0.49,97.39,0.01,0.01,97.43,-0.03,-0.03,97.4,0.0,0.0,98.4,-1.0,-1.03,100.45,-3.05,-3.13
0.0,0.00112107623318386,0.0112107623318386,2.23,20,30.0,1.5,0.0,7.51,-7.51,,1.6,-1.6,,0.1,-0.1,,0.0,0.0,,81.21,-81.21,,79.27,-79.27,
0.00112107623318386,0.0112107623318386,0.112107623318386,2.23,0,30.0,2.0,90.7,92.47,-1.77,-1.95,87.77,2.93,3.23,90.92,-0.22,-0.24,90.7,0.0,0.0,89.7,1.0,1.1,70.32,20.38,22.47
0.0112107623318386,0.112107623318386,1.12107623318386,2.23,5,30.0,0.0,0.0,1.83,-1.83,,9.59,-9.59,,0.06,-0.06,,0.0,0.0,,15.89,-15.89,,35.77,-35.77,
0.112107623318386,1.12107623318386,0.0,2.23,10,30.0,0.5,96.0,97.46,-1.46,-1.52,96.19,-0.19,-0.2,96.14,-0.14,-0.15,96.0,0.0,0.0,97.0,-1.0,-1.04,94.95,1.05,1.09
1.12107623318386,0.0,0.00112107623318386,2.23,15,30.0,1.0,98.0,98.74,-0.74,-0.76,95.67,2.33,2.38,98.05,-0.05,-0.05,98.0,0.0,0.0,96.88,1.12,1.14,102.88,-4.88,-4.98
0.0,1.11940298507463,0.111940298507463,2.68,5,30.0,1.0,97.5,96.39,1.11,1.14,89.96,7.54,7.73,96.51,0.99,1.02,96.6,0.9,0.92,96.98,0.52,0.53,90.46,7.04,7.22
0.00111940298507463,0.0,1.11940298507463,2.68,10,30.0,1.5,0.0,0.0,0.0,,1.58,-1.58,,0.0,0.0,,0.0,0.0,,36.88,-36.88,,45.27,-45.27,
0.0111940298507463,0.00111940298507463,0.0,2.68,15,30.0,2.0,96.0,89.37,6.63,6.91,91.76,4.24,4.42,96.56,-0.56,-0.58,95.0,1.0,1.04,87.53,8.47,8.82,81.32,14.68,15.29
0.111940298507463,0.0111940298507463,0.00111940298507463,2.68,20,30.0,0.0,93.0,93.37,-0.37,-0.4,93.91,-0.91,-0.98,93.86,-0.86,-0.92,93.0,0.0,0.0,94.03,-1.03,-1.11,74.65,18.35,19.73
1.11940298507463,0.111940298507463,0.0111940298507463,2.68,0,30.0,0.5,97.0,96.61,0.39,0.4,95.37,1.63,1.68,97.63,-0.63,-0.65,98.0,-1.0,-1.03,98.55,-1.55,-1.6,95.76,1.24,1.28
0.0,0.0111821086261981,1.11821086261981,3.13,15,30.0,0.5,50.0,45.67,4.33,8.66,45.14,4.86,9.72,49.87,0.13,0.26,50.0,0.0,0.0,30.51,19.49,38.98,42.83,7.17,14.34
0.00111821086261981,0.111821086261981,0.0,3.13,20,30.0,1.0,98.0,96.62,1.38,1.41,98.08,-0.08,-0.08,98.2,-0.2,-0.2,98.0,0.0,0.0,89.64,8.36,8.53,80.67,17.33,17.68
0.0111821086261981,1.11821086261981,0.00111821086261981,3.13,0,30.0,1.5,97.0,97.82,-0.82,-0.85,97.04,-0.04,-0.04,97.16,-0.16,-0.16,97.0,0.0,0.0,98.0,-1.0,-1.03,95.19,1.81,1.87
0.111821086261981,0.0,0.0111821086261981,3.13,5,30.0,2.0,96.0,96.79,-0.79,-0.82,94.2,1.8,1.88,96.36,-0.36,-0.38,96.0,0.0,0.0,92.71,3.29,3.43,79.74,16.26,16.94
1.11821086261981,0.00111821086261981,0.111821086261981,3.13,10,30.0,0.0,98.0,97.19,0.81,0.83,97.72,0.28,0.29,97.94,0.06,0.06,98.0,0.0,0.0,97.83,0.17,0.17,93.31,4.69,4.79
0.0,0.0,0.0,1.2,0,40.0,0.0,0.0,1.21,-1.21,,0.0,0.0,,0.14,-0.14,,0.0,0.0,,6.43,-6.43,,61.25,-61.25,
0.00125,0.00125,0.00125,1.2,5,40.0,0.5,0.0,7.28,-7.28,,27.47,-27.47,,1.55,-1.55,,0.0,0.0,,41.63,-41.63,,66.56,-66.56,
0.0125,0.0125,0.0125,1.2,10,40.0,1.0,70.6,71.74,-1.14,-1.61,70.75,-0.15,-0.21,70.73,-0.13,-0.18,70.6,0.0,0.0,71.6,-1.0,-1.42,72.06,-1.46,-2.07
0.125,0.125,0.125,1.2,15,40.0,1.5,79.2,69.47,9.73,12.29,75.6,3.6,4.55,58.52,20.68,26.11,92.5,-13.3,-16.79,75.64,3.56,4.49,79.47,-0.27,-0.34
1.25,1.25,1.25,1.2,20,40.0,2.0,96.5,96.7,-0.2,-0.21,90.87,5.63,5.83,96.57,-0.07,-0.07,96.5,0.0,0.0,97.5,-1.0,-1.04,106.03,-9.53,-9.88
0.0,0.125,0.00125,1.6,10,40.0,2.0,81.1,75.17,5.93,7.31,76.39,4.71,5.81,80.31,0.79,0.97,81.1,0.0,0.0,87.39,-6.29,-7.76,81.0,0.1,0.12
0.00125,1.25,0.0125,1.6,15,40.0,0.0,70.2,74.44,-4.24,-6.04,77.64,-7.44,-10.6,70.88,-0.68,-0.97,70.2,0.0,0.0,97.66,-27.46,-39.12,94.49,-24.29,-34.6
0.0125,0.0,0.125,1.6,20,40.0,0.5,37.5,61.14,-23.64,-63.04,72.61,-35.11,-93.63,68.66,-31.16,-83.09,70.0,-32.5,-86.67,81.29,-43.79,-116.77,71.25,-33.75,-90.0
0.125,0.00125,1.25,1.6,0,40.0,1.0,60.0,62.23,-2.23,-3.72,63.91,-3.91,-6.52,60.07,-0.07,-0.12,60.0,0.0,0.0,54.83,5.17,8.62,37.08,22.92,38.2
1.25,0.0125,0.0,1.6,5,40.0,1.5,96.4,96.16,0.24,0.25,96.34,0.06,0.06,96.75,-0.35,-0.36,96.4,0.0,0.0,97.82,-1.42,-1.47,105.37,-8.97,-9.3
0.0,0.00125,0.0125,2.0,20,40.0,1.5,0.0,5.24,-5.24,,4.44,-4.44,,0.09,-0.09,,0.0,0.0,,80.23,-80.23,,80.66,-80.66,
0.00125,0.0125,0.125,2.0,0,40.0,2.0,86.0,84.77,1.23,1.43,86.2,-0.2,-0.23,88.57,-2.57,-2.99,90.7,-4.7,-5.47,88.88,-2.88,-3.35,71.43,14.57,16.94
0.0125,0.125,1.25,2.0,5,40.0,0.0,0.0,1.76,-1.76,,14.07,-14.07,,0.0,0.0,,0.0,0.0,,5.3,-5.3,,33.98,-33.98,
0.125,1.25,0.0,2.0,10,40.0,0.5,95.0,96.92,-1.92,-2.02,95.53,-0.53,-0.56,95.24,-0.24,-0.25,95.0,0.0,0.0,97.28,-2.28,-2.4,99.36,-4.36,-4.59
1.25,0.0,0.00125,2.0,15,40.0,1.0,98.0,97.43,0.57,0.58,95.93,2.07,2.11,98.04,-0.04,-0.04,98.0,0.0,0.0,97.95,0.05,0.05,107.59,-9.59,-9.79
0.0,1.25,0.125,2.4,5,40.0,1.0,97.0,96.66,0.34,0.35,90.81,6.19,6.38,96.39,0.61,0.63,98.0,-1.0,-1.03,97.49,-0.49,-0.51,94.12,2.88,2.97
0.00125,0.0,1.25,2.4,10,40.0,1.5,0.0,0.0,0.0,,4.38,-4.38,,0.0,0.0,,0.0,0.0,,16.72,-16.72,,43.05,-43.05,
0.0125,0.00125,0.0,2.4,15,40.0,2.0,95.0,95.34,-0.34,-0.36,91.35,3.65,3.84,95.02,-0.02,-0.02,95.0,0.0,0.0,85.65,9.35,9.84,82.68,12.32,12.97
0.125,0.0125,0.00125,2.4,20,40.0,0.0,93.0,95.28,-2.28,-2.45,93.52,-0.52,-0.56,93.12,-0.12,-0.13,93.0,0.0,0.0,93.34,-0.34,-0.37,76.34,16.66,17.91
1.25,0.125,0.0125,2.4,0,40.0,0.5,98.0,96.51,1.49,1.52,97.63,0.37,0.38,97.73,0.27,0.28,98.0,0.0,0.0,99.0,-1.0,-1.02,100.66,-2.66,-2.71
0.0,0.0125,1.25,2.8,15,40.0,0.5,10.0,9.22,0.78,7.8,28.14,-18.14,-181.4,10.54,-0.54,-5.4,10.0,0.0,0.0,11.0,-1.0,-10.0,40.5,-30.5,-305.0
0.00125,0.125,0.0,2.8,20,40.0,1.0,98.0,93.94,4.06,4.14,97.04,0.96,0.98,97.9,0.1,0.1,98.0,0.0,0.0,88.99,9.01,9.19,82.18,15.82,16.14
0.0125,1.25,0.00125,2.8,0,40.0,1.5,97.0,96.13,0.87,0.9,96.67,0.33,0.34,96.98,0.02,0.02,97.0,0.0,0.0,97.87,-0.87,-0.9,99.17,-2.17,-2.24
0.125,0.0,0.0125,2.8,5,40.0,2.0,97.0,96.32,0.68,0.7,93.92,3.08,3.18,96.85,0.15,0.15,97.0,0.0,0.0,91.6,5.4,5.57,81.27,15.73,16.22
1.25,0.00125,0.125,2.8,10,40.0,0.0,98.0,98.0,0.0,0.0,93.19,4.81,4.91,97.91,0.09,0.09,98.0,0.0,0.0,98.22,-0.22,-0.22,97.56,0.44,0.45
